
Acerra Scuola Caporale,Acerra,NA,µg/m³,0.7
Ariano Irpino Stadio,Ariano Irpino,AV,µg/m³,2.1
Avellino AV41 Sc. V Circolo,Avellino,AV,µg/m³,0.4
Avellino Scuola Alighieri,Avellino,AV,µg/m³,0.5
Aversa Sc. Cirillo,Aversa,CE,µg/m³,0.5
Battipaglia Parco Fiume,Battipaglia,SA,µg/m³,0.2
Benevento Campo Sportivo,Benevento,BN,µg/m³,0.4
Caserta CE52 Sc. De Amicis,Caserta,CE,µg/m³,0.1
Napoli NA01 Oss. Astronomico,Napoli ,NA,µg/m³,1.3
Napoli NA06 Museo Nazionale,Napoli ,NA,µg/m³,0.2
Napoli NA07 Ferrovia,Napoli ,NA,µg/m³,1.4
Napoli NA09 Via Argine,Napoli ,NA,µg/m³,0.2
Nocera Inferiore Sc. Solimena,Nocera Inferiore,SA,µg/m³,1.2
Polla Area Tritovagliatore,Polla,SA,µg/m³,0.4
Pomigliano D’Arco Area ASI,Pomigliano D’Arco,NA,µg/m³,0.4
Portici Parco Reggia,Portici,NA,µg/m³,0.9
Salerno Parco Mercatello,Salerno,SA,µg/m³,0.6
Salerno SA22 Osp. Via Vernieri,Salerno,SA,µg/m³,0.4
Salerno SA23 Scuola Conti,Salerno,SA,µg/m³,0.1
S. Felice a Cancello C. Scolast.,San Felice a Cancello,CE,µg/m³,0.3
S.Vitaliano Scuola Marconi,San Vitaliano,NA,µg/m³,0.8
