
Acerra Scuola Caporale,Acerra,NA,mg/m³,0.9,1.2
Avellino Scuola Alighieri,Avellino,AV,mg/m³,0.8,1.0
Aversa Sc. Cirillo,Aversa,CE,mg/m³,0.5,0.6
Caserta CE52 Sc. De Amicis,Caserta,CE,mg/m³,0.4,0.9
Napoli NA01 Oss. Astronomico,Napoli ,NA,mg/m³,0.3,0.5
Napoli NA06 Museo Nazionale,Napoli ,NA,mg/m³,0.6,1.2
Napoli NA07 Ferrovia,Napoli ,NA,mg/m³,0.8,1.0
Napoli NA09 Via Argine,Napoli ,NA,mg/m³,0.5,0.8
Nocera Inferiore Sc. Solimena,Nocera Inferiore,SA,mg/m³,0.6,0.8
Polla Area Tritovagliatore,Polla,SA,mg/m³,0.5,0.6
Pomigliano D’Arco Area ASI,Pomigliano D’Arco,NA,mg/m³,0.3,0.4
Salerno Parco Mercatello,Salerno,SA,mg/m³,0.6,0.9
Salerno SA22 Osp. Via Vernieri,Salerno,SA,mg/m³,0.6,1.0
S. Felice a Cancello C. Scolast.,San Felice a Cancello,CE,mg/m³,0.3,0.3
Solofra Zona Industriale,Solofra,AV,mg/m³,0.3,0.3
