
Acerra Scuola Caporale,Acerra,NA,µg/m³,23,49
Ariano Irpino Stadio,Ariano Irpino,AV,µg/m³,4,7
Avellino AV41 Sc. V Circolo,Avellino,AV,µg/m³,11,20
Avellino Scuola Alighieri,Avellino,AV,µg/m³,14,32
Aversa Sc. Cirillo,Aversa,CE,µg/m³,17,42
Battipaglia Parco Fiume,Battipaglia,SA,µg/m³,9,19
Benevento BN32 Via Mustilli,Benevento,BN,µg/m³,30,66
Benevento Campo Sportivo,Benevento,BN,µg/m³,12,29
Benevento Zona Industriale,Benevento,BN,µg/m³,11,23
Caserta CE51 Ist.Manzoni,Caserta,CE,µg/m³,7,12
Caserta CE52 Sc. De Amicis,Caserta,CE,µg/m³,12,27
Casoria Scuola Palizzi,Casoria,NA,µg/m³,24,51
Maddaloni CE54 Sc. Settembrini,Maddaloni,CE,µg/m³,5,16
Napoli NA01 Oss. Astronomico,Napoli ,NA,µg/m³,21,44
Napoli NA02 Osp. Santobono,Napoli ,NA,µg/m³,36,66
Napoli NA06 Museo Nazionale,Napoli ,NA,µg/m³,34,65
Napoli NA07 Ferrovia,Napoli ,NA,µg/m³,38,68
Napoli NA08 Osp.N.Pellegrini,Napoli ,NA,µg/m³,41,75
Napoli NA09 Via Argine,Napoli ,NA,µg/m³,50,93
Nocera Inferiore Sc. Solimena,Nocera Inferiore,SA,µg/m³,15,31
Polla Area Tritovagliatore,Polla,SA,µg/m³,22,43
Pomigliano D’Arco Area ASI,Pomigliano D’Arco,NA,µg/m³,18,47
Portici Parco Reggia,Portici,NA,µg/m³,24,55
Pozzuoli Zona Villa Avellino,Pozzuoli,NA,µg/m³,21,66
Salerno Parco Mercatello,Salerno,SA,µg/m³,20,49
Salerno SA22 Osp. Via Vernieri,Salerno,SA,µg/m³,25,71
Salerno SA23 Scuola Conti,Salerno,SA,µg/m³,40,63
S. Felice a Cancello C. Scolast.,San Felice a Cancello,CE,µg/m³,4,6
Solofra Zona Industriale,Solofra,AV,µg/m³,6,14
S.Vitaliano Scuola Marconi,San Vitaliano,NA,µg/m³,27,57
Torre Annunziata Sc. Pascoli,Torre Annunziata,NA,µg/m³,22,44
