
Ariano Irpino Stadio,Ariano Irpino,AV,µg/m³,88,94
Avellino AV41 Sc. V Circolo,Avellino,AV,µg/m³,64,78
Battipaglia Parco Fiume,Battipaglia,SA,µg/m³,81,91
Benevento Campo Sportivo,Benevento,BN,µg/m³,27,61
Benevento Zona Industriale,Benevento,BN,µg/m³,46,77
Casoria Scuola Palizzi,Casoria,NA,µg/m³,39,67
Maddaloni CE54 Sc. Settembrini,Maddaloni,CE,µg/m³,77,93
Napoli NA01 Oss. Astronomico,Napoli ,NA,µg/m³,42,62
Portici Parco Reggia,Portici,NA,µg/m³,45,93
Pozzuoli Zona Villa Avellino,Pozzuoli,NA,µg/m³,89,109
Salerno Parco Mercatello,Salerno,SA,µg/m³,40,68
Salerno SA23 Scuola Conti,Salerno,SA,µg/m³,42,58
S. Felice a Cancello C. Scolast.,San Felice a Cancello,CE,µg/m³,59,66
S.Vitaliano Scuola Marconi,San Vitaliano,NA,µg/m³,49,76
Torre Annunziata Sc. Pascoli,Torre Annunziata,NA,µg/m³,51,70
