
Acerra Scuola Caporale,Acerra,NA,µg/m³,18
Avellino Scuola Alighieri,Avellino,AV,µg/m³,29
Aversa Sc. Cirillo,Aversa,CE,µg/m³,19
Battipaglia Parco Fiume,Battipaglia,SA,µg/m³,11
Benevento BN32 Via Mustilli,Benevento,BN,µg/m³,25
Benevento Campo Sportivo,Benevento,BN,µg/m³,9
Caserta CE51 Ist.Manzoni,Caserta,CE,µg/m³,14
Caserta CE52 Sc. De Amicis,Caserta,CE,µg/m³,30
Casoria Scuola Palizzi,Casoria,NA,µg/m³,16
Napoli NA01 Oss. Astronomico,Napoli ,NA,µg/m³,29
Napoli NA02 Osp. Santobono,Napoli ,NA,µg/m³,16
Napoli NA06 Museo Nazionale,Napoli ,NA,µg/m³,24
Napoli NA07 Ferrovia,Napoli ,NA,µg/m³,19
Napoli NA08 Osp.N.Pellegrini,Napoli ,NA,µg/m³,13
Napoli NA09 Via Argine,Napoli ,NA,µg/m³,22
Nocera Inferiore Sc. Solimena,Nocera Inferiore,SA,µg/m³,28
Polla Area Tritovagliatore,Polla,SA,µg/m³,8
Pomigliano D’Arco Area ASI,Pomigliano D’Arco,NA,µg/m³,30
Portici Parco Reggia,Portici,NA,µg/m³,31
Pozzuoli Zona Villa Avellino,Pozzuoli,NA,µg/m³,20
Salerno Parco Mercatello,Salerno,SA,µg/m³,9
Salerno SA22 Osp. Via Vernieri,Salerno,SA,µg/m³,14
Salerno SA23 Scuola Conti,Salerno,SA,µg/m³,18
Solofra Zona Industriale,Solofra,AV,µg/m³,22
S.Vitaliano Scuola Marconi,San Vitaliano,NA,µg/m³,27
