
Acerra Scuola Caporale,Acerra,NA,µg/m³,9
Avellino Scuola Alighieri,Avellino,AV,µg/m³,13
Aversa Sc. Cirillo,Aversa,CE,µg/m³,9
Battipaglia Parco Fiume,Battipaglia,SA,µg/m³,5
Benevento BN32 Via Mustilli,Benevento,BN,µg/m³,16
Benevento Campo Sportivo,Benevento,BN,µg/m³,13
Caserta CE51 Ist.Manzoni,Caserta,CE,µg/m³,10
Caserta CE52 Sc. De Amicis,Caserta,CE,µg/m³,7
Casoria Scuola Palizzi,Casoria,NA,µg/m³,12
Maddaloni CE54 Sc. Settembrini,Maddaloni,CE,µg/m³,24
Napoli NA01 Oss. Astronomico,Napoli ,NA,µg/m³,9
Napoli NA02 Osp. Santobono,Napoli ,NA,µg/m³,12
Napoli NA06 Museo Nazionale,Napoli ,NA,µg/m³,15
Napoli NA07 Ferrovia,Napoli ,NA,µg/m³,11
Napoli NA09 Via Argine,Napoli ,NA,µg/m³,13
Nocera Inferiore Sc. Solimena,Nocera Inferiore,SA,µg/m³,12
Polla Area Tritovagliatore,Polla,SA,µg/m³,5
Pomigliano D’Arco Area ASI,Pomigliano D’Arco,NA,µg/m³,10
Portici Parco Reggia,Portici,NA,µg/m³,10
Pozzuoli Zona Villa Avellino,Pozzuoli,NA,µg/m³,11
Salerno Parco Mercatello,Salerno,SA,µg/m³,7
Salerno SA22 Osp. Via Vernieri,Salerno,SA,µg/m³,10
Salerno SA23 Scuola Conti,Salerno,SA,µg/m³,13
Solofra Zona Industriale,Solofra,AV,µg/m³,7
S.Vitaliano Scuola Marconi,San Vitaliano,NA,µg/m³,14
