
Battipaglia Parco Fiume,Battipaglia,SA,µg/m³,2.6,6.2
Napoli NA07 Ferrovia,Napoli ,NA,µg/m³,0.7,1.5
Napoli NA09 Via Argine,Napoli ,NA,µg/m³,12.4,13.7
Nocera Inferiore Sc. Solimena,Nocera Inferiore,SA,µg/m³,2.1,3.1
Polla Area Tritovagliatore,Polla,SA,µg/m³,4.6,5.6
Pomigliano D’Arco Area ASI,Pomigliano D’Arco,NA,µg/m³,6.6,7.2
Pozzuoli Zona Villa Avellino,Pozzuoli,NA,µg/m³,32.5,43.5
Salerno Parco Mercatello,Salerno,SA,µg/m³,2.3,3.4
S. Felice a Cancello C. Scolast.,San Felice a Cancello,CE,µg/m³,3.6,4.0
Solofra Zona Industriale,Solofra,AV,µg/m³,1.4,1.7
S.Vitaliano Scuola Marconi,San Vitaliano,NA,µg/m³,4.7,6.5
